X,R1_open Y,R1_short Y,R2_open Y,R2_short Y,R3_open Y,R3_short Y,M1_G-S_short Y,M1_open Y,M1_G-D_short Y,M1_D-S_short Y,M2_D-S_short Y,M2_G-D_short Y,M2_G-S_short Y,M2_open Y,M3_open Y,M3_D-S_short Y,M3_G-D_short Y,M3_G-S_short Y
-1.543,-0.83907,0.6064699832322189,0.99992,-0.83907,-31.482144900072157,0.9999999999999993,0.55091085864467,0.6064699832322189,-0.8572057627309579,-0.83907,0.99992,-0.7731203331209088,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999975,0.99992
-1.542,-0.83907,0.606469983243086,0.99992,-0.83907,-31.482144900073074,0.9999999999999993,0.5509382536544081,0.606469983243086,-0.8572047384370772,-0.83907,0.99992,-0.7731201418926439,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999975,0.99992
-1.541,-0.83907,0.606469983253953,0.99992,-0.83907,-31.482144900073997,0.9999999999999993,0.5509656463142107,0.606469983253953,-0.857203707755734,-0.83907,0.99992,-0.7731199502024194,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999974,0.99992
-1.54,-0.83907,0.6064699832648199,0.99992,-0.83907,-31.48214490007494,0.9999999999999993,0.5509930366243054,0.6064699832648199,-0.8572026706471054,-0.83907,0.99992,-0.7731197580491305,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999973,0.99992
-1.539,-0.83907,0.6064699832756869,0.99992,-0.83907,-31.482144900075888,0.9999999999999993,0.5510204245848627,0.6064699832756869,-0.8572016270711205,-0.83907,0.99992,-0.7731195654316696,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999973,0.99992
-1.538,-0.83907,0.606469983286554,0.99992,-0.83907,-31.48214490007685,0.9999999999999993,0.5510478101961098,0.606469983286554,-0.8572005769874581,-0.83907,0.99992,-0.773119372348927,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999973,0.99992
-1.537,-0.83907,0.606469983297421,0.99992,-0.83907,-31.482144900077824,0.9999999999999993,0.5510751934582174,0.606469983297421,-0.8571995203555463,-0.83907,0.99992,-0.7731191787997901,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999972,0.99992
-1.536,-0.83907,0.6064699833082879,0.99992,-0.83907,-31.48214490007881,0.9999999999999993,0.5511025743714129,0.6064699833082879,-0.85719845713456,-0.83907,0.99992,-0.7731189847831436,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.680416999999997,0.99992
-1.535,-0.83907,0.6064699833191549,0.99992,-0.83907,-31.482144900079813,0.9999999999999993,0.5511299529359235,0.6064699833191549,-0.85719738728342,-0.83907,0.99992,-0.7731187902978697,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999969,0.99992
-1.534,-0.83907,0.606469983330022,0.99992,-0.83907,-31.482144900080822,0.9999999999999993,0.5511573291518914,0.606469983330022,-0.8571963107607911,-0.83907,0.99992,-0.773118595342848,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999969,0.99992
